iter	Passed	Remaining
677	17113	8127
678	17141	8103
679	17167	8078
680	17190	8052
681	17219	8029
682	17248	8005
683	17279	7982
684	17301	7956
685	17321	7928
686	17349	7904
687	17379	7881
688	17410	7858
689	17442	7836
690	17475	7814
691	17504	7791
692	17532	7766
693	17557	7741
694	17582	7716
695	17606	7690
696	17629	7663
697	17660	7641
698	17689	7617
699	17721	7594
700	17743	7568
701	17775	7545
702	17803	7521
703	17829	7496
704	17854	7471
705	17872	7442
706	17898	7417
707	17923	7392
708	17944	7365
709	17965	7337
710	17996	7315
711	18016	7287
712	18045	7263
713	18075	7240
714	18098	7214
715	18129	7190
716	18160	7167
717	18191	7144
718	18213	7118
719	18238	7092
720	18263	7067
721	18288	7041
722	18317	7017
723	18351	6996
724	18382	6972
725	18408	6947
726	18429	6920
727	18449	6893
728	18475	6867
729	18500	6842
730	18531	6819
731	18561	6795
732	18594	6773
733	18622	6748
734	18649	6724
735	18672	6697
736	18702	6673
737	18737	6651
738	18762	6626
739	18795	6603
740	18818	6577
741	18849	6554
742	18877	6529
743	18904	6504
744	18931	6479
745	18963	6456
746	18996	6433
747	19021	6408
748	19048	6383
749	19075	6358
750	19104	6334
751	19134	6310
752	19168	6287
753	19199	6264
754	19233	6241
755	19269	6219
756	19306	6197
757	19327	6170
758	19352	6144
759	19376	6119
760	19403	6093
761	19435	6070
762	19464	6045
763	19485	6019
764	19510	5993
765	19537	5968
766	19564	5943
767	19590	5917
768	19619	5893
769	19650	5869
770	19677	5844
771	19703	5819
772	19725	5792
773	19752	5767
774	19778	5742
775	19805	5717
776	19836	5693
777	19867	5669
778	19899	5645
779	19929	5621
780	19959	5596
781	19989	5572
782	20020	5548
783	20044	5522
784	20064	5495
785	20093	5470
786	20117	5444
787	20144	5419
788	20172	5394
789	20196	5368
790	20216	5341
791	20245	5317
792	20268	5290
793	20289	5263
794	20318	5239
795	20343	5213
796	20366	5187
797	20387	5160
798	20412	5135
799	20438	5109
800	20465	5084
801	20495	5060
802	20520	5034
803	20540	5007
804	20560	4980
805	20580	4953
806	20607	4928
807	20628	4901
808	20650	4875
809	20671	4848
810	20692	4822
811	20717	4796
812	20740	4770
813	20766	4745
814	20787	4718
815	20807	4691
816	20832	4666
817	20857	4640
818	20886	4616
819	20907	4589
820	20931	4563
821	20954	4537
822	20977	4511
823	21001	4485
824	21027	4460
825	21053	4434
826	21073	4408
827	21097	4382
828	21116	4355
829	21139	4329
830	21161	4303
831	21185	4277
832	21207	4251
833	21235	4226
834	21261	4201
835	21282	4175
836	21306	4149
837	21326	4122
838	21346	4096
839	21369	4070
840	21392	4044
841	21416	4018
842	21443	3993
843	21464	3967
844	21487	3941
845	21507	3915
846	21530	3889
847	21555	3863
848	21577	3837
849	21599	3811
850	21623	3786
851	21648	3760
852	21670	3734
853	21698	3709
854	21723	3684
855	21749	3658
856	21772	3633
857	21796	3607
858	21817	3581
859	21843	3555
860	21864	3529
861	21891	3504
862	21913	3478
863	21936	3453
864	21959	3427
865	21982	3401
866	22008	3376
867	22032	3350
868	22056	3324
869	22076	3298
870	22099	3273
871	22120	3247
872	22144	3221
873	22164	3195
874	22187	3169
875	22207	3143
876	22227	3117
877	22255	3092
878	22278	3066
879	22304	3041
880	22328	3015
881	22353	2990
882	22384	2966
883	22416	2941
884	22443	2916
885	22473	2891
886	22502	2866
887	22529	2841
888	22556	2816
889	22578	2790
890	22604	2765
891	22629	2739
892	22653	2714
893	22679	2689
894	22700	2663
895	22723	2637
896	22750	2612
897	22771	2586
898	22799	2561
899	22821	2535
900	22842	2509
901	22865	2484
902	22887	2458
903	22909	2432
904	22929	2406
905	22951	2381
906	22975	2355
907	22999	2330
908	23022	2304
909	23047	2279
910	23069	2253
911	23092	2228
912	23113	2202
913	23137	2177
914	23157	2151
915	23177	2125
916	23196	2099
917	23219	2074
918	23242	2048
919	23268	2023
920	23292	1997
921	23315	1972
922	23342	1947
923	23367	1921
924	23390	1896
925	23412	1870
926	23438	1845
927	23463	1820
928	23501	1796
929	23524	1770
930	23549	1745
931	23570	1719
932	23599	1694
933	23630	1669
934	23656	1644
935	23679	1619
936	23705	1593
937	23732	1568
938	23764	1543
939	23794	1518
940	23824	1493
941	23844	1468
942	23866	1442
943	23902	1417
944	23935	1393
945	23969	1368
946	24003	1343
947	24031	1318
948	24056	1292
949	24082	1267
950	24118	1242
951	24152	1217
952	24188	1192
953	24220	1167
954	24249	1142
955	24269	1116
956	24292	1091
957	24313	1065
958	24335	1040
959	24358	1014
960	24383	989
961	24408	964
962	24433	938
963	24457	913
964	24477	887
965	24498	862
966	24517	836
967	24538	811
968	24563	785
969	24589	760
970	24615	735
971	24635	709
972	24658	684
973	24682	658
974	24706	633
975	24728	608
976	24751	582
977	24774	557
978	24798	531
979	24823	506
980	24845	481
981	24868	455
982	24890	430
983	24915	405
984	24945	379
985	24970	354
986	24992	329
987	25013	303
988	25032	278
989	25057	253
990	25080	227
991	25103	202
992	25125	177
993	25150	151
994	25171	126
995	25190	101
996	25213	75
997	25234	50
998	25254	25
999	25274	0
